resultsId,seasonId,raceId,pos,number,teamId,driverId,laps,time,gap,interval,kp/h,best,lap,POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 37,is_dnf,best_lap_seconds
41,1,3,1,9,44,10,31,49:09.0,,,106.264,01:19.1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,79.1
42,1,3,2,99,36,58,31,49:09.7,0.732,0.732,106.238,01:19.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,79
43,1,3,3,11,6,33,31,49:11.6,2.635,1.903,106.169,01:18.9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,78.9
44,1,3,4,10,46,74,31,49:13.2,4.163,1.528,106.114,01:20.2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,80.2
45,1,3,5,3,48,2,31,49:13.7,4.698,0.535,106.095,01:20.1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,80.1
46,1,3,6,21,26,65,31,49:14.2,5.197,0.499,106.077,01:19.4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,79.4
47,1,3,7,8,40,59,31,49:15.5,6.514,1.317,106.03,01:19.3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,79.3
48,1,3,8,7,13,17,31,49:16.6,7.567,1.053,105.992,01:20.1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,80.1
49,1,3,9,6,13,67,31,49:17.6,8.646,1.079,105.953,01:20.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,80.5
50,1,3,10,23,47,37,31,49:19.6,10.563,1.917,105.885,01:20.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,80
51,1,3,11,88,32,30,31,49:19.6,10.594,0.031,105.884,01:21.4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,81.4
52,1,3,12,18,46,14,31,49:28.6,19.617,9.023,105.562,01:21.7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,81.7
53,1,3,13,5,26,15,31,50:03.2,54.175,34.558,104.347,01:18.8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,78.8
54,1,3,14,27,4,76,29,46:27.9,2 Laps,2 Laps,105.152,01:19.1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,79.1
55,1,3,15,66,2,1,28,49:26.2,17.189,178.274,95.424,01:18.5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,78.5
56,1,3,16,77,3,20,27,49:27.9,18.917,1.728,91.962,01:21.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,81
57,1,3,,28,4,9,26,40:54.1,,,107.097,01:19.8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,79.8
58,1,3,,30,47,63,15,22:55.7,,,110.217,01:19.8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,79.8
59,1,3,,55,3,25,6,09:55.1,,,101.917,01:21.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,81.5
60,1,3,,2,16,7,3,04:22.9,,,115.337,01:21.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,81.5
61,1,4,,77,3,20,35,49:06.8,,,102.918,01:12.7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72.7
62,1,4,,10,46,74,30,43:13.8,,,100.22,01:13.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,73
63,1,4,,11,6,33,26,37:46.7,,,99.393,01:12.1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,72.1
64,1,4,,9,44,10,23,34:09.8,,,97.228,01:12.6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,72.6
65,1,4,,18,46,14,20,33:22.3,,,86.553,01:16.3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,76.3
66,1,4,,5,26,15,15,18:25.2,,,117.602,01:13.0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,73
67,1,4,1,55,3,25,35,48:52.1,,,103.435,01:12.7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72.7
68,1,4,2,8,40,59,35,48:57.5,5.354,5.354,103.246,01:12.4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72.4
69,1,4,3,99,36,58,35,49:00.7,8.552,3.198,103.134,01:11.6,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.6
70,1,4,4,3,48,2,35,49:03.2,11.148,2.596,103.043,01:12.3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72.3
71,1,4,5,21,26,65,35,49:03.6,11.535,0.387,103.029,01:11.9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.9
72,1,4,6,27,4,76,35,49:05.4,13.319,1.784,102.967,01:12.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72.2
73,1,4,7,2,16,7,35,49:05.7,13.617,0.298,102.956,01:11.5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.5
74,1,4,8,23,47,37,35,49:07.6,15.464,1.847,102.892,01:12.2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72.2
75,1,4,9,6,13,67,35,49:11.4,19.334,3.87,102.757,01:12.6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72.6
76,1,4,10,30,47,63,35,49:21.1,28.973,9.639,102.423,01:13.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,73.1
77,1,4,11,88,32,73,35,50:05.0, 1:11.858,43.885,100.927,01:13.4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,73.4
78,1,4,12,28,4,3,34,49:36.3,44.201,1 Lap,98.987,01:13.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,73
79,1,4,13,66,2,1,33,47:04.2,2 Laps,1 Lap,101.249,01:12.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72.2
80,1,4,14,7,13,17,33,49:39.0,46.934, 1:32.819,95.988,01:11.6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.6
81,1,5,,30,47,63,31,38:19.4,,,105.272,01:08.8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,68.8
82,1,5,,21,26,65,25,30:16.0,,,107.491,01:08.9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,68.9
83,1,5,1,8,40,59,39,46:12.3,,,109.844,01:08.9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.9
84,1,5,2,28,4,70,39,46:12.8,0.433,0.433,109.827,01:08.8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.8
85,1,5,3,66,2,1,39,46:17.9,5.518,5.085,109.626,01:08.9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.9
86,1,5,4,7,13,17,39,46:18.3,5.941,0.423,109.609,01:08.7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.7
87,1,5,5,99,36,58,39,46:18.8,6.426,0.485,109.59,01:08.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68
88,1,5,6,55,3,25,39,46:21.1,8.754,2.328,109.498,01:08.5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.5
89,1,5,7,6,13,21,39,46:21.8,9.498,0.744,109.469,01:08.4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.4
90,1,5,8,2,16,7,39,46:32.2,19.817,10.319,109.065,01:08.7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.7
91,1,5,9,11,6,33,39,46:33.0,20.631,0.814,109.033,01:09.0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,69
92,1,5,10,77,3,20,39,46:36.9,24.587,3.956,108.879,01:08.7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.7
93,1,5,11,3,48,2,39,46:56.2,43.883,19.296,108.132,01:08.9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.9
94,1,5,12,23,47,37,39,47:00.2,47.878,3.995,107.979,01:08.9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.9
95,1,5,13,9,44,10,39,47:16.9, 1:3.587,16.709,107.343,01:08.4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.4
96,1,5,14,5,26,15,39,47:35.9, 1:21.539,18.952,106.631,01:08.8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.8
97,1,5,15,10,46,74,38,46:34.9,22.558,1 Lap,106.164,01:09.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,69.5
98,1,5,16,18,46,44,38,46:43.8,31.451,8.893,105.827,01:09.8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,69.8
99,1,5,17,88,32,57,38,46:59.9,47.502,16.051,105.225,01:09.3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,69.3
100,1,5,18,27,4,76,37,43:59.2,2 Laps,1 Lap,109.467,01:08.9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,68.9
101,1,6,,77,3,20,27,34:41.7,,,99.499,01:00.3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,60.3
102,1,6,,2,16,7,22,29:43.7,,,94.623,59.241,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
103,1,6,,10,46,74,7,10:32.1,,,84.954,01:01.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,61.4
104,1,6,,28,4,70,3,03:09.3,,,121.568,01:00.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,60.8
105,1,6,1,99,36,58,39,46:02.0,,,108.325,59.4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
106,1,6,2,27,4,76,39,46:03.7,1.705,1.705,108.258,59.574,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
107,1,6,3,11,6,33,39,46:05.0,2.994,1.289,108.208,59.731,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
108,1,6,4,9,44,10,39,46:05.5,3.518,0.524,108.187,59.61,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
109,1,6,5,21,26,65,39,46:10.8,8.844,5.326,107.979,59.459,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
110,1,6,6,7,13,17,39,46:15.4,13.46,4.616,107.8,59.583,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
111,1,6,7,55,3,25,39,46:18.1,16.171,2.711,107.695,59.53,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
112,1,6,8,3,48,2,39,46:19.9,17.975,1.804,107.625,59.631,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
113,1,6,9,6,13,21,39,46:20.4,18.436,0.461,107.607,59.239,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
114,1,6,10,30,47,63,39,46:22.4,20.418,1.982,107.53,59.768,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
115,1,6,11,23,47,37,39,46:23.3,21.326,0.908,107.495,59.791,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
116,1,6,12,5,26,15,39,46:34.9,32.917,11.591,107.049,01:00.1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,60.1
117,1,6,13,18,46,44,39,46:40.6,38.592,5.675,106.832,59.956,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
118,1,6,14,8,40,59,39,46:44.3,42.375,3.783,106.688,58.973,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
119,1,6,15,66,2,1,39,46:46.3,44.361,1.986,106.613,59.747,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
120,1,6,16,88,32,57,39,47:00.1,58.125,13.764,106.092,59.379,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
121,1,7,,18,46,44,36,48:32.7,,,78.532,57.218,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
122,1,7,,27,4,76,33,39:00.5,,,89.587,55.157,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
123,1,7,,77,3,20,28,32:56.7,,,90.004,56.426,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
124,1,7,,6,13,21,24,29:59.2,,,84.755,55.891,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
125,1,7,,66,2,1,14,18:25.5,,,80.467,56.956,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
126,1,7,,21,26,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
127,1,7,,3,48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
128,1,7,1,9,44,10,47,48:05.2,,,103.505,56.1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
129,1,7,2,11,6,33,47,48:07.4,2.154,2.154,103.428,56.056,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
130,1,7,3,99,36,58,47,48:09.9,4.634,2.48,103.339,55.657,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
131,1,7,4,2,16,7,47,48:10.0,4.801,0.167,103.334,56.286,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
132,1,7,5,7,13,17,47,48:11.1,5.881,1.08,103.295,56.067,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
133,1,7,6,8,40,59,47,48:16.3,11.032,5.151,103.111,56.389,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
134,1,7,7,30,47,63,47,48:31.7,26.472,15.44,102.564,56.586,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
135,1,7,8,88,32,57,47,48:54.8,49.538,23.066,101.758,56.761,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
136,1,7,9,55,3,25,47,48:57.9,52.658,3.12,101.65,56.972,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
137,1,7,10,23,47,37,47,48:58.2,52.936,0.278,101.641,56.528,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
138,1,7,11,10,46,74,47,49:04.2,58.984,6.048,101.432,57.214,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
139,1,7,12,28,4,70,47,49:19.4, 1:13.138,15.154,100.912,56.091,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
140,1,7,13,5,26,15,46,48:06.2,0.943,1 Lap,101.27,56.531,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
141,1,8,,11,6,33,33,48:19.0,,,101.22,01:25.4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.4
142,1,8,1,7,13,17,33,48:26.6,,,100.956,01:25.2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.2
143,1,8,2,9,44,10,33,48:29.0,2.433,2.433,100.871,01:25.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.1
144,1,8,3,6,13,21,33,48:30.1,3.508,1.075,100.834,01:24.8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.8
145,1,8,4,99,36,58,33,48:30.5,3.975,0.467,100.818,01:24.4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.4
146,1,8,5,23,47,37,33,48:39.6,13.046,9.071,100.505,01:25.4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.4
147,1,8,6,30,47,63,33,48:39.9,13.335,0.289,100.495,01:25.1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.1
148,1,8,7,27,4,76,33,48:40.2,13.678,0.343,100.483,01:25.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.1
149,1,8,8,2,16,7,33,48:40.6,14.055,0.377,100.47,01:25.2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.2
150,1,8,9,18,46,44,33,48:42.2,15.636,1.581,100.416,01:25.5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.5
151,1,8,10,8,40,59,33,48:43.2,16.602,0.966,100.382,01:25.3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.3
152,1,8,11,55,3,25,33,48:43.4,16.797,0.195,100.376,01:24.8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.8
