POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 37
12.0,48,Classified,34,53:12.833,+9.762,+0.485,24,1:15.766,139.4,MAHINDRA RACING,,,,Mahindra M10Electro,HANKOOK,,,,,,,,,,16,Edoardo,MORTARA,,CHE,CHE,MOR,,,,,,
13.0,11,Classified,34,53:13.890,+10.819,+1.057,28,1:15.944,139.0,ABT CUPRA FORMULA E TEAM,,,,Mahindra M10Electro,HANKOOK,,,,,,,,,,21,Lucas,DI GRASSI,,BRA,BRA,DIG,,,,,,
14.0,21,Classified,34,53:16.748,+13.677,+2.858,29,1:15.502,139.8,MAHINDRA RACING,,,,Mahindra M10Electro,HANKOOK,,,,,,,,,,19,Nyck,DE VRIES,,NLD,NLD,DEV,,,,,,
15.0,18,Classified,34,53:17.450,+14.379,+0.702,26,1:15.967,139.0,Maserati MSG Racing,,,,Maserati Tipo Folgore,HANKOOK,,,,,,,,,,20,Jehan,DARUVALA,,IND,IND,DAR,,,,,,
16.0,3,Classified,34,53:20.582,+17.511,+3.132,28,1:15.976,139.0,ERT Formula E Team,,,,ERT X24,HANKOOK,,,,,,,,,,15,Sérgio,SETTE CÂMARA,,BRA,BRA,SET,,,,,,
17.0,33,Classified,34,53:20.955,+17.884,+0.373,24,1:16.137,138.7,ERT Formula E Team,,,,ERT X24,HANKOOK,,,,,,,,,,22,Dan,TICKTUM,,GBR,GBR,TIC,,,,,,
18.0,17,Classified,34,53:21.960,+18.889,+1.005,15,1:15.858,139.2,Andretti Formula E,,,,Porsche 99X Electric,HANKOOK,,,,,,,,,,13,Norman,NATO,,FRA,FRA,NAT,,,,,,
19.0,4,Classified,34,53:22.195,+19.124,+0.235,27,1:15.625,139.6,Envision Racing,,,,Jaguar I-TYPE 6,HANKOOK,,,,,,,,,,7,Robin,FRIJNS,,NLD,NLD,FRI,,,,,,
,5,Not classified,31,49:27.979,,,27,1:15.740,139.4,NEOM McLaren Formula E Team,,,,Nissan e-4ORCE 04,HANKOOK,,,,,,,,,,10,Jake,HUGHES,,GBR,GBR,HUG,,,,,,
,51,Not classified,25,41:45.422,,,24,1:16.320,138.3,ABT CUPRA FORMULA E TEAM,,,,Mahindra M10Electro,HANKOOK,,,,,,,,,,17,Nico,MÜLLER,,CHE,CHE,MUE,,,,,,
,37,Not classified,14,22:38.676,,,14,1:17.555,136.1,Jaguar TCS Racing,,,,Jaguar I-TYPE 6,HANKOOK,,,,,,,,,,1,Nick,CASSIDY,,NZL,NZL,CAS,,,,,,
